,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,58,24,.707,—,114.4,108.4,5.49,2019,Toronto Raptors*
1,51,31,.622,7.0,115.2,112.5,2.25,2019,Philadelphia 76ers*
2,49,33,.598,9.0,112.4,108.0,3.90,2019,Boston Celtics*
3,42,40,.512,16.0,112.2,112.3,-0.40,2019,Brooklyn Nets*
4,17,65,.207,41.0,104.6,113.8,-8.93,2019,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2019,Central Division
6,60,22,.732,—,118.1,109.3,8.04,2019,Milwaukee Bucks*
7,48,34,.585,12.0,108.0,104.7,2.76,2019,Indiana Pacers*
8,41,41,.500,19.0,107.0,107.3,-0.56,2019,Detroit Pistons*
9,22,60,.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls
10,19,63,.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2019,Southeast Division
12,42,40,.512,—,107.3,106.6,0.28,2019,Orlando Magic*
13,39,43,.476,3.0,110.7,111.8,-1.32,2019,Charlotte Hornets
14,39,43,.476,3.0,105.7,105.9,-0.45,2019,Miami Heat
15,32,50,.390,10.0,114.0,116.9,-3.30,2019,Washington Wizards
16,29,53,.354,13.0,113.3,119.4,-6.06,2019,Atlanta Hawks
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2019,Northwest Division
1,54,28,.659,—,110.7,106.7,4.19,2019,Denver Nuggets*
2,53,29,.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers*
3,50,32,.610,4.0,111.7,106.5,5.28,2019,Utah Jazz*
4,49,33,.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder*
5,36,46,.439,18.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2019,Pacific Division
7,57,25,.695,—,117.7,111.2,6.42,2019,Golden State Warriors*
8,48,34,.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers*
9,39,43,.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
10,37,45,.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
11,19,63,.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2019,Southwest Division
13,53,29,.646,—,113.9,109.1,4.96,2019,Houston Rockets*
14,48,34,.585,5.0,111.7,110.0,1.80,2019,San Antonio Spurs*
15,33,49,.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
16,33,49,.402,20.0,115.4,116.8,-1.10,2019,New Orleans Pelicans
17,33,49,.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
